TM,FDD_Z,TJK_Z,TL_Z,ZES_Z,MHS_Z,PAB_Z,YT_Z,GZT_Z,XHD_Z,XM_Z,LZ_Z
2009/7/16 8:00,97.11 ,70.50 ,52.42 ,45.98 ,34.56 ,327.60 ,14.61 ,33.61 ,34.63 ,36.16 ,11.11 
2009/7/17 8:00,97.11 ,70.47 ,52.30 ,45.97 ,34.51 ,327.60 ,14.59 ,33.59 ,34.57 ,36.04 ,11.09 
2009/7/18 8:00,85.50 ,69.47 ,52.95 ,45.95 ,34.46 ,327.60 ,14.41 ,33.58 ,34.55 ,36.02 ,10.91 
2009/7/19 8:00,85.49 ,69.42 ,52.93 ,45.94 ,34.47 ,327.60 ,14.35 ,33.57 ,34.53 ,36.00 ,10.79 
2009/7/20 8:00,85.75 ,69.49 ,52.86 ,45.93 ,34.31 ,327.60 ,14.30 ,33.58 ,34.55 ,36.00 ,12.25 
2009/7/21 8:00,85.84 ,69.74 ,54.20 ,45.91 ,34.30 ,327.60 ,14.31 ,33.58 ,34.57 ,35.88 ,10.72 
2009/7/22 8:00,85.83 ,69.77 ,53.35 ,45.94 ,35.09 ,327.60 ,14.15 ,33.59 ,34.61 ,35.88 ,10.60 
2009/7/23 8:00,86.01 ,69.77 ,53.38 ,45.97 ,34.80 ,327.60 ,14.15 ,33.60 ,34.56 ,35.79 ,12.25 
2009/7/24 8:00,86.02 ,70.03 ,53.18 ,46.00 ,34.74 ,327.60 ,14.82 ,33.61 ,34.55 ,35.77 ,11.16 
2009/7/25 8:00,85.79 ,70.09 ,53.18 ,46.03 ,34.56 ,327.60 ,14.51 ,33.61 ,34.54 ,36.26 ,11.08 
2009/7/26 8:00,85.75 ,69.89 ,53.22 ,46.05 ,34.28 ,327.60 ,14.63 ,33.62 ,34.49 ,36.04 ,10.99 
2009/7/27 8:00,85.70 ,69.86 ,53.20 ,46.02 ,34.50 ,327.60 ,14.33 ,33.63 ,34.45 ,35.97 ,11.12 
2009/7/28 8:00,85.57 ,69.72 ,53.20 ,45.98 ,34.50 ,327.60 ,14.13 ,33.63 ,34.43 ,35.91 ,12.25 
2009/7/29 8:00,85.51 ,69.61 ,53.06 ,45.94 ,34.48 ,327.60 ,14.29 ,33.64 ,34.42 ,35.86 ,10.62 
2009/7/30 8:00,85.46 ,69.56 ,53.01 ,45.90 ,34.61 ,23.66 ,14.27 ,33.65 ,34.42 ,35.83 ,10.66 
2009/7/31 8:00,85.42 ,69.46 ,52.96 ,45.86 ,34.54 ,23.78 ,14.31 ,33.66 ,34.42 ,35.81 ,10.64 
2009/8/1 8:00,85.40 ,69.41 ,52.91 ,45.82 ,34.56 ,23.70 ,14.31 ,33.66 ,34.43 ,36.06 ,10.75 
2009/8/2 8:00,85.39 ,69.41 ,52.89 ,45.98 ,34.38 ,23.93 ,14.31 ,33.67 ,34.43 ,36.29 ,10.67 
2009/8/3 8:00,85.40 ,69.40 ,52.89 ,46.14 ,34.30 ,23.68 ,14.48 ,33.68 ,34.43 ,36.06 ,10.87 
2009/8/4 8:00,85.43 ,69.38 ,52.89 ,46.30 ,34.08 ,23.35 ,14.17 ,33.68 ,34.43 ,35.95 ,10.65 
2009/8/5 8:00,85.43 ,69.39 ,52.83 ,46.46 ,34.01 ,327.60 ,14.08 ,33.69 ,34.43 ,35.85 ,10.41 
2009/8/6 8:00,85.45 ,69.40 ,52.81 ,46.62 ,34.06 ,327.60 ,13.98 ,33.70 ,34.44 ,35.83 ,10.36 
2009/8/7 8:00,85.44 ,69.40 ,52.79 ,46.47 ,34.12 ,327.60 ,13.83 ,33.71 ,34.44 ,35.83 ,10.26 
2009/8/8 8:00,85.39 ,69.39 ,53.04 ,46.31 ,34.12 ,327.60 ,13.78 ,33.71 ,34.44 ,35.83 ,10.22 
2009/8/9 8:00,85.38 ,69.35 ,53.04 ,46.16 ,34.10 ,23.19 ,13.78 ,33.72 ,34.44 ,35.83 ,10.26 
